mood,age,gender,subject,semester,sibilings,living,employment,personality,relationship,wakeup,breakfast,launch,dinner,sleep,hobbies,smoker,alcoholic,drug_addicted,friends,hangout,social_events,pray,sports,exercise,meditation,video_games,study_hours,phone_hours,medication,movies_per_week,music hours,depression,category
Tensed,23,Male,Engineering,8,1,With family,None,Introvert,Single,10:30:00 AM,11:00:00 AM,3:00:00 PM,5:00:00 AM,1:00:00 AM,None,No,No,No,3,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,Often,1,6 to 8,Yes,1,0,7,Moderate
Happy,23,Male,Engineering,7,1,With family,None,Ambivert,Single,8:30:00 AM,9:00:00 AM,2:30:00 AM,6:00:00 AM,12:30:00 AM,Music,No,No,No,3,Sometimes,Not at all,Regularly,Not at all,Sometimes,Regularly,Not at all,6,0 to 2,No,0,3,0,None
Sad,23,Male,Engineering,13,2,With family,Part time,Introvert,In a relationship,11:00:00 AM,12:00:00 PM,3:30:00 PM,7:00:00 AM,4:00:00 AM,Traveling,No,No,No,2,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Often,3,more than 8,No,0,3,14,Moderate
Tensed,23,Male,Engineering,13,2,With family,Part time,Ambivert,In a relationship,10:00:00 AM,11:30:00 AM,3:00:00 PM,8:00:00 AM,2:00:00 AM,None,No,No,No,0,Not at all,Sometimes,Sometimes,Not at all,Not at all,Not at all,Often,1,6 to 8,No,0,2,6,Moderate
Happy,24,Male,Business,16,1,With family,None,Introvert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,9:00:00 AM,2:00:00 AM,None,Yes,Yes,Yes,0,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Very Often,0,3 to 5,No,0,1,0,None
Happy,24,Male,Engineering,16,3,With family,None,Introvert,In a relationship,10:00:00 AM,11:00:00 AM,3:00:00 PM,10:00:00 AM,4:00:00 AM,"Music, Traveling",Yes,No,No,5,Very Often,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Often,2,6 to 8,No,7,2,4,None
Sad,24,Male,Business,4,2,With family,Part time,Extrovert,Single,10:00:00 AM,11:00:00 AM,3:00:00 AM,11:00:00 AM,2:30:00 AM,Photography,No,No,No,2,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Often,3,6 to 8,No,3,2,16,Moderate
Lost,25,Male,Business,15,0,With family,None,Ambivert,Single,3:00:00 PM,12:00:00 PM,3:00:00 PM,12:00:00 PM,6:00:00 AM,"Music, Dancing, Traveling",No,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,3 to 5,No,6,3,7,Moderate
Sad,22,Female,Architecture,3,2,With family,None,Ambivert,Single,4:00:00 AM,6:30:00 AM,3:30:00 AM,1:00:00 PM,4:00:00 AM,"Music, Photography",No,No,No,0,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,10,3 to 5,No,0,1,9,Moderate
Sad,25,Others,Business,2,3,With family,None,Extrovert,Single,3:00:00 AM,9:00:00 AM,7:00:00 PM,2:00:00 PM,11:00:00 AM,Traveling,No,No,No,5,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,6,0 to 2,Yes,1,1,16,Moderate
Lost,21,Male,Engineering,6,3,With family,None,Introvert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,3:00:00 PM,2:00:00 AM,"Music, Traveling, Programming",Yes,No,No,4,Sometimes,Sometimes,Sometimes,Sometimes,Regularly,Not at all,Sometimes,4,3 to 5,No,2,3,12,Moderate
Happy,26,Male,Economics,16,1,With family,Part time,Extrovert,Married,11:00:00 AM,11:15:00 AM,3:00:00 PM,4:00:00 PM,2:30:00 AM,"Photography, Traveling",Yes,No,No,6,Very Often,Sometimes,Regularly,Sometimes,Regularly,Not at all,Often,1,0 to 2,No,5,1,1,None
Happy,24,Male,Engineering,14,3,Without family,None,Introvert,In a relationship,9:00:00 AM,11:00:00 AM,2:00:00 PM,5:00:00 PM,1:00:00 AM,Traveling,No,No,No,3,Often,Often,Sometimes,Sometimes,Not at all,Not at all,Sometimes,4,3 to 5,No,3,2,9,Moderate
Happy,23,Male,Engineering,12,1,With family,None,Introvert,Single,9:15:00 AM,10:30:00 AM,2:45:00 PM,6:00:00 PM,1:30:00 AM,Writing,No,No,No,2,Sometimes,Not at all,Regularly,Sometimes,Not at all,Not at all,Often,2,3 to 5,No,1,1,3,None
Sad,24,Male,Engineering,12,0,With family,None,Ambivert,Single,10:00:00 AM,10:00:00 AM,2:00:00 PM,7:00:00 PM,3:45:00 AM,"Music, Programming",Yes,Yes,No,5,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,5,3 to 5,No,1,1,10,Moderate
Happy,22,Male,Engineering,12,1,With family,None,Introvert,Single,1:30:00 AM,2:00:00 PM,4:00:00 AM,8:00:00 PM,4:30:00 AM,None,No,No,No,10,Sometimes,Often,Sometimes,Sometimes,Not at all,Not at all,Often,2,3 to 5,No,1,1,7,Moderate
Happy,24,Male,Engineering,12,1,With family,Part time,Ambivert,Single,9:30:00 AM,9:50:00 AM,2:30:00 PM,9:00:00 PM,1:00:00 AM,Sketching,No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Often,2,3 to 5,No,2,0,0,None
Happy,21,Male,Business,5,1,With family,Part time,Ambivert,Single,8:00:00 AM,12:00:00 PM,4:00:00 AM,10:00:00 PM,1:00:00 AM,None,Yes,Yes,No,5,Very Often,Sometimes,Sometimes,Not at all,Regularly,Sometimes,Very Often,0,6 to 8,No,1,1,3,None
Tensed,23,Male,Engineering,11,3,With family,None,Introvert,Single,2:00:00 PM,3:00:00 PM,7:00:00 PM,11:00:00 PM,5:00:00 AM,"Music, Photography, Traveling, Programming",Yes,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,4,more than 8,No,10,0,5,Moderate
Happy,21,Male,Engineering,6,1,With family,None,Extrovert,In a relationship,1:00:00 PM,2:00:00 PM,3:00:00 PM,12:00:00 AM,3:00:00 AM,Programming,Yes,No,No,5,Very Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Often,2,3 to 5,No,1,0,13,Moderate
Happy,23,Male,Engineering,10,3,With family,None,Introvert,Single,11:00:00 AM,12:00:00 AM,3:00:00 PM,1:00:00 AM,3:00:00 AM,"Programming, hacking",No,No,No,3,Sometimes,Not at all,Regularly,Sometimes,Sometimes,Not at all,Not at all,3,6 to 8,No,0,0,10,Moderate
Happy,24,Male,Engineering,5,7,With family,Part time,Introvert,Single,10:00:00 AM,10:30:00 AM,2:00:00 AM,2:00:00 AM,4:00:00 PM,None,No,No,No,5,Often,Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,1,3 to 5,No,1,4,9,Moderate
Tensed,19,Female,Bba,1,2,With family,None,Introvert,Single,7:30:00 AM,10:00:00 AM,3:00:00 PM,3:00:00 AM,12:00:00 AM,Dancing,No,No,No,1,Very Often,Very Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,3,6 to 8,No,2,1,8,Moderate
Happy,24,Male,Engineering,12,1,With family,None,Ambivert,Single,11:00:00 AM,12:00:00 PM,3:00:00 PM,4:00:00 AM,2:00:00 AM,"Music, Photography, Traveling",Yes,No,No,5,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,0 to 2,No,1,2,6,Moderate
Happy,22,Male,Engineering,7,1,With family,None,Introvert,Single,8:00:00 AM,9:00:00 AM,3:00:00 PM,5:00:00 AM,3:00:00 AM,"Painting, Programming, Problem solving",No,No,No,3,Often,Sometimes,Regularly,Sometimes,Sometimes,Sometimes,Sometimes,10,0 to 2,No,1,1,10,Moderate
Sad,25,Female,Engineering,12,0,With family,None,Extrovert,In a relationship,9:00:00 AM,11:00:00 AM,3:00:00 PM,6:00:00 AM,2:00:00 AM,"Music, Photography, Painting",No,No,No,1,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,Not at all,Sometimes,1,3 to 5,No,0,1,23,Severe
Sad,25,Male,Engineering,11,0,With family,None,Ambivert,In a relationship,9:40:00 AM,9:45:00 AM,3:00:00 PM,7:00:00 AM,3:00:00 AM,"Music, Photography, Traveling, Programming",Yes,No,No,3,Very Often,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,Very Often,3,3 to 5,Yes,2,1,13,Moderate
Tensed,21,Female,Business,5,2,With family,Part time,Ambivert,Single,11:00:00 AM,1:00:00 PM,5:00:00 PM,8:00:00 AM,6:00:00 AM,"Traveling, Watching series",No,No,No,11,Often,Often,Sometimes,Not at all,Sometimes,Not at all,Very Often,6,3 to 5,Yes,5,1,22,Severe
Lost,25,Female,Engineering,11,0,With family,None,Ambivert,Single,9:00:00 AM,9:30:00 AM,2:00:00 PM,9:00:00 AM,1:00:00 AM,"Music, Dancing, Painting, Traveling",Yes,No,No,7,Often,Sometimes,Regularly,Regularly,Regularly,Regularly,Sometimes,3,0 to 2,No,2,2,0,None
Sad,22,Female,Pharmacy,5,2,With family,None,Ambivert,Single,7:00:00 AM,9:00:00 AM,2:00:00 PM,10:00:00 AM,1:00:00 AM,Gardening,No,No,No,3,Sometimes,Very Often,Regularly,Not at all,Not at all,Not at all,Sometimes,6,6 to 8,Yes,0,1,17,Moderate
Lost,21,Female,Engineering,7,1,With family,Full time,Introvert,In a relationship,7:00:00 AM,9:45:00 AM,2:30:00 PM,11:00:00 AM,12:30:00 AM,Traveling,No,No,No,1,Not at all,Very Often,Regularly,Not at all,Not at all,Not at all,Often,1,3 to 5,No,8,4,5,Moderate
Sad,22,Female,Engineering,6,0,With family,Part time,Ambivert,Single,9:40:00 AM,11:00:00 AM,1:00:00 PM,12:00:00 PM,4:00:00 AM,Gym,Yes,Yes,No,0,Sometimes,Very Often,Not at all,Sometimes,Regularly,Not at all,Not at all,2,more than 8,No,0,5,23,Severe
Lost,25,Male,Engineering,12,2,With family,None,Extrovert,In a relationship,10:00:00 AM,10:30:00 PM,2:30:00 PM,1:00:00 PM,2:00:00 AM,None,No,No,No,5,Sometimes,Very Often,Not at all,Not at all,Not at all,Not at all,Very Often,1,0 to 2,No,1,2,15,Moderate
Happy,20,Female,Business,6,3,With family,None,Ambivert,Single,6:10:00 AM,10:30:00 AM,1:00:00 AM,2:00:00 PM,12:00:00 AM,Dancing,No,No,No,4,Very Often,Very Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,3,3 to 5,No,2,9,12,Moderate
Lost,23,Male,Engineering,11,2,With family,None,Introvert,In a relationship,2:00:00 PM,4:00:00 PM,8:00:00 PM,3:00:00 PM,10:00:00 AM,None,Yes,Yes,Yes,0,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0,3 to 5,Yes,0,2,19,Moderate
Happy,22,Female,Engineering,9,3,With family,Full time,Extrovert,Single,12:05:00 AM,11:00:00 AM,2:00:00 PM,4:00:00 PM,12:00:00 AM,Traveling,No,No,No,3,Sometimes,Not at all,Regularly,Sometimes,Regularly,Sometimes,Not at all,10,3 to 5,No,0,1,5,Moderate
Tensed,21,Female,Business,4,2,With family,None,Extrovert,Single,9:21:00 AM,3:07:00 PM,3:07:00 PM,5:00:00 PM,4:00:00 AM,"Music, Painting, Traveling",Yes,Yes,No,0,Not at all,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,4,6 to 8,No,3,2,14,Moderate
Lost,22,Female,Engineering,8,2,With family,Part time,Ambivert,Single,10:00:00 AM,3:00:00 PM,3:00:00 PM,6:00:00 PM,3:00:00 AM,"None, Cycling ",No,No,No,0,Sometimes,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,Often,1,3 to 5,No,0,0,7,Moderate
Happy,22,Female,Economics,2,1,With family,None,Ambivert,Single,7:30:00 AM,9:30:00 AM,2:30:00 PM,7:00:00 PM,11:00:00 AM,"Music, Painting, Reading books",No,No,No,4,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Not at all,Very Often,5,6 to 8,Yes,2,2,9,Moderate
Happy,23,Male,Engineering,10,1,With family,Part time,Extrovert,Single,4:30:00 AM,9:00:00 AM,2:30:00 PM,8:00:00 PM,11:15:00 AM,Programming,No,No,No,5,Often,Often,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,4,0 to 2,No,2,0,1,None
Tensed,23,Female,Engineering,15,2,With family,None,Introvert,Single,1:00:00 AM,1:00:00 PM,4:00:00 PM,9:00:00 PM,4:45:00 AM,Traveling,Yes,No,No,8,Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,2,3 to 5,No,2,0,6,Moderate
Happy,24,Male,Business,11,1,With family,Part time,Extrovert,In a relationship,9:00:00 AM,10:00:00 AM,2:30:00 PM,10:00:00 PM,2:00:00 AM,None,No,No,No,7,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,0,0,6,Moderate
Lost,23,Male,Engineering,12,2,With family,None,Introvert,Single,10:00:00 AM,10:30:00 AM,1:30:00 PM,11:00:00 PM,2:00:00 AM,"Music, Photography, Traveling, Watching football, playing Cricket, guitar",No,No,No,0,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Very Often,1,3 to 5,No,0,1,4,None
Tensed,26,Male,Business,14,2,With family,Part time,Introvert,Single,12:00:00 PM,1:00:00 PM,4:00:00 PM,12:00:00 AM,2:00:00 AM,Photography,Yes,Yes,No,4,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,0,more than 8,No,8,4,15,Moderate
Lost,24,Male,Law,10,1,Without family,None,Ambivert,Single,8:00:00 AM,8:20:00 AM,1:30:00 PM,1:00:00 AM,2:00:00 AM,Playing chess,Yes,Yes,Yes,2,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,2,3 to 5,No,3,1,10,Moderate
Tensed,20,Female,Business,1,2,With family,None,Ambivert,Single,11:00:00 AM,1:00:00 AM,4:00:00 AM,2:00:00 AM,4:00:00 AM,"Music, Dancing, Photography, Painting, Traveling, Programming",No,No,No,2,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,0,more than 8,Yes,2,1,14,Moderate
Happy,21,Male,Business,5,1,With family,None,Ambivert,Married,2:00:00 PM,2:30:00 PM,2:30:00 PM,3:00:00 AM,4:00:00 AM,"gym, sports",No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,3 to 5,No,2,0,12,Moderate
Lost,19,Female,MBBS,1,2,With family,None,Ambivert,In a relationship,12:00:00 PM,12:30:00 PM,4:00:00 PM,4:00:00 AM,3:00:00 AM,"Music, Dancing, Traveling",No,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,0,more than 8,No,1,3,4,None
Lost,22,Male,Business,4,1,With family,None,Ambivert,Single,8:00:00 AM,8:30:00 AM,2:00:00 PM,5:00:00 AM,12:00:00 AM,"Photography, Traveling",No,No,No,8,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,4,3 to 5,No,2,1,10,Moderate
Sad,26,Male,Engineering,20,4,With family,None,Ambivert,Single,11:38:00 AM,1:30:00 PM,5:30:00 PM,6:00:00 AM,5:30:00 AM,Hangout ,No,No,No,2,Very Often,Sometimes,Regularly,Not at all,Not at all,Not at all,Sometimes,1,6 to 8,No,1,1,16,Moderate
Lost,21,Male,Business,5,3,With family,None,Introvert,Single,9:00:00 PM,1:30:00 PM,12:00:00 AM,7:00:00 AM,2:00:00 PM,Photography,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,1,more than 8,No,0,0,15,Moderate
Tensed,21,Male,Business,6,1,With family,None,Introvert,Single,8:00:00 AM,9:00:00 AM,2:00:00 PM,8:00:00 AM,12:00:00 AM,Football,No,No,No,2,Sometimes,Sometimes,Regularly,Regularly,Sometimes,Not at all,Often,4,3 to 5,No,2,1,3,None
Lost,21,Male,Engineering,5,1,With family,None,Introvert,Divorced,10:00:00 AM,10:00:00 AM,3:00:00 PM,9:00:00 AM,1:00:00 AM,"Music, Programming",No,No,No,0,Not at all,Not at all,Not at all,Not at all,Regularly,Not at all,Not at all,0,3 to 5,No,0,8,19,Moderate
Happy,25,Male,Engineering,8,3,With family,None,Introvert,In a relationship,5:00:00 AM,8:00:00 AM,2:30:00 PM,10:00:00 AM,11:00:00 PM,"Music, Traveling, Programming",No,No,No,0,Often,Very Often,Regularly,Sometimes,Sometimes,Not at all,Very Often,1,0 to 2,No,1,3,15,Moderate
Lost,22,Male,Engineering,7,2,With family,None,Introvert,Single,10:30:00 AM,1:00:00 PM,1:00:00 PM,11:00:00 AM,4:00:00 AM,"Programming, Gaming",No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,1,6 to 8,No,1,5,17,Moderate
Tensed,22,Male,Engineering,10,1,With family,None,Extrovert,In a relationship,9:00:00 AM,10:00:00 AM,3:00:00 AM,12:00:00 PM,1:00:00 AM,"Photography, Traveling, Programming",Yes,No,No,5,Often,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,5,3 to 5,No,1,0,18,Moderate
Angry,22,Female,Law,5,1,Without family,None,Extrovert,Married,6:00:00 AM,8:00:00 AM,12:00:00 PM,2:00:00 PM,12:00:00 AM,"sex and only sex with different male partners, some time group sex and lesbo",Yes,Yes,No,1,Sometimes,Sometimes,Not at all,Not at all,Regularly,Not at all,Not at all,0,6 to 8,No,0,2,3,None
Sad,23,Male,Engineering,14,1,With family,None,Introvert,In a relationship,11:00:00 AM,1:00:00 PM,4:00:00 PM,3:00:00 PM,3:30:00 AM,"Music, Photography, Traveling",Yes,No,No,0,Not at all,Not at all,Sometimes,Sometimes,Not at all,Not at all,Sometimes,0,more than 8,No,1,2,6,Moderate
Sad,22,Male,Engineering,8,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,2:30:00 PM,4:00:00 PM,2:00:00 AM,Programming,No,No,No,1,Sometimes,Often,Regularly,Not at all,Sometimes,Not at all,Not at all,2,more than 8,No,0,5,3,None
Tensed,23,Male,Engineering,9,1,With family,None,Ambivert,Single,7:30:00 AM,8:00:00 AM,2:30:00 PM,5:00:00 PM,2:00:00 AM,"Photography, Traveling",No,No,No,1,Often,Often,Regularly,Sometimes,Sometimes,Not at all,Not at all,5,3 to 5,Yes,3,1,12,Moderate
Happy,25,Female,Engineering,11,0,With family,None,Ambivert,Single,8:00:00 AM,9:00:00 AM,1:00:00 PM,6:00:00 PM,12:00:00 AM,"Music, Dancing, Painting, Traveling",Yes,Yes,No,7,Sometimes,Sometimes,Regularly,Regularly,Regularly,Regularly,Sometimes,3,0 to 2,No,2,8,8,Moderate
Tensed,24,Male,Engineering,12,1,Without family,None,Ambivert,In a relationship,9:00:00 AM,9:30:00 AM,2:00:00 PM,7:00:00 PM,1:00:00 AM,"Photography, Painting, Traveling",Yes,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,2,3 to 5,No,1,1,13,Moderate
Sad,21,Female,Engineering,6,1,With family,Part time,Ambivert,In a relationship,11:00:00 AM,11:30:00 AM,2:30:00 PM,8:00:00 PM,3:00:00 PM,"Dancing, Traveling",No,No,No,4,Not at all,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,5,3 to 5,No,0,0,12,Moderate
Happy,21,Male,Engineering,4,0,With family,Full time,Ambivert,Single,10:00:00 AM,10:20:00 AM,2:00:00 PM,9:00:00 PM,3:00:00 AM,"Traveling, Programming",No,No,No,4,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,1,6 to 8,No,0,0,6,Moderate
Lost,30,Male,Engineering,16,1,With family,Full time,Introvert,Divorced,11:00:00 AM,12:00:00 PM,3:00:00 PM,10:00:00 PM,2:00:00 AM,None,Yes,Yes,No,0,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,0,0 to 2,No,1,4,0,None
Tensed,31,Male,Engineering,12,2,With family,Full time,Ambivert,Married,10:00:00 AM,10:30:00 AM,3:00:00 AM,11:00:00 PM,2:00:00 AM,Traveling,Yes,No,No,4,Often,Not at all,Regularly,Not at all,Sometimes,Not at all,Not at all,1,3 to 5,Yes,0,0,7,Moderate
Happy,21,Male,Engineering,5,2,With family,None,Ambivert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,12:00:00 AM,2:00:00 AM,Programming,No,No,No,2,Sometimes,Sometimes,Regularly,Regularly,Regularly,Sometimes,Sometimes,0,6 to 8,No,1,1,9,Moderate
Lost,21,Female,Engineering,5,3,With family,None,Ambivert,In a relationship,10:00:00 AM,10:15:00 AM,2:30:00 PM,1:00:00 AM,1:00:00 PM,"Music, Painting",No,No,No,5,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,4,6 to 8,No,3,1,12,Moderate
Happy,21,Male,Engineering,5,1,With family,None,Extrovert,In a relationship,9:00:00 AM,11:00:00 AM,3:00:00 PM,2:00:00 AM,2:00:00 AM,"Music, Photography, Traveling",No,No,No,5,Often,Very Often,Sometimes,Not at all,Sometimes,Not at all,Sometimes,5,3 to 5,No,1,1,8,Moderate
Tensed,20,Male,Engineering,5,6,With family,None,Introvert,In a relationship,10:30:00 AM,11:00:00 AM,2:30:00 PM,3:00:00 AM,4:12:00 AM,"Traveling, Programming",No,No,No,0,Not at all,Sometimes,Regularly,Sometimes,Not at all,Not at all,Often,2,0 to 2,Yes,0,1,19,Moderate
Happy,20,Male,Engineering,5,2,With family,None,Introvert,In a relationship,1:00:00 PM,2:00:00 PM,4:00:00 PM,4:00:00 AM,4:00:00 AM,"Music, Photography, Traveling, Programming",Yes,Yes,No,3,Very Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,5,6 to 8,No,2,3,9,Moderate
Sad,21,Male,Engineering,5,3,With family,None,Ambivert,Single,12:00:00 PM,12:30:00 PM,3:30:00 PM,5:00:00 AM,5:00:00 AM,"Traveling, Programming, Reading novels",No,No,No,5,Sometimes,Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,6,3 to 5,No,2,1,5,Moderate
Tensed,20,Female,Engineering,5,2,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,3:00:00 PM,6:00:00 AM,12:00:00 PM,Music,No,No,No,3,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,0,1,7,Moderate
Happy,23,Male,Engineering,10,2,With family,Part time,Ambivert,In a relationship,10:30:00 AM,11:25:00 AM,3:00:00 AM,7:00:00 AM,1:30:00 AM,"Music, Photography, Traveling, Gaming",No,No,No,5,Sometimes,Often,Regularly,Not at all,Sometimes,Not at all,Very Often,2,3 to 5,No,3,4,4,None
Sad,21,Male,Engineering,5,1,With family,None,Extrovert,Single,7:30:00 AM,10:00:00 AM,1:45:00 PM,8:00:00 AM,3:45:00 AM,"Music, Programming",Yes,No,No,1,Sometimes,Not at all,Regularly,Sometimes,Not at all,Not at all,Often,6,3 to 5,No,7,3,22,Severe
Happy,23,Male,Engineering,9,1,With family,None,Introvert,Single,9:00:00 AM,10:30:00 AM,2:30:00 PM,9:00:00 AM,2:00:00 AM,"Music, Photography, Traveling, Programming",No,No,No,15,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Sometimes,4,3 to 5,No,2,4,0,None
Happy,24,Male,Engineering,11,0,With family,None,Introvert,Single,1:00:00 PM,1:30:00 PM,5:00:00 PM,10:00:00 AM,4:00:00 AM,"Music, Programming",No,No,No,2,Sometimes,Not at all,Not at all,Sometimes,Not at all,Not at all,Often,5,0 to 2,No,2,2,11,Moderate
Happy,22,Female,Engineering,8,2,With family,Part time,Introvert,Single,4:30:00 AM,7:30:00 AM,2:00:00 AM,11:00:00 AM,12:00:00 PM,Writing,No,No,No,2,Sometimes,Sometimes,Regularly,Regularly,Regularly,Sometimes,Not at all,5,3 to 5,Yes,0,0,1,None
Sad,20,Female,Engineering,5,1,With family,None,Introvert,Single,12:00:00 PM,1:00:00 PM,4:00:00 PM,12:00:00 PM,5:00:00 AM,"Music, Traveling, Watching movies,Cooking.",No,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,8,3 to 5,No,4,5,10,Moderate
Happy,22,Female,Engineering,9,1,With family,None,Introvert,In a relationship,10:00:00 AM,11:30:00 AM,2:30:00 PM,1:00:00 PM,2:00:00 AM,Traveling,No,No,No,5,Often,Sometimes,Regularly,Sometimes,Sometimes,Not at all,Very Often,4,3 to 5,No,3,2,3,None
Lost,21,Male,Engineering,5,1,With family,None,Ambivert,In a relationship,8:00:00 AM,9:00:00 AM,3:00:00 AM,2:00:00 PM,3:00:00 AM,"Photography, Traveling, Programming",No,No,No,6,Very Often,Very Often,Sometimes,Not at all,Not at all,Not at all,Sometimes,10,3 to 5,No,1,2,9,Moderate
Happy,26,Male,Engineering,13,3,With family,None,Introvert,In a relationship,9:00:00 AM,1:00:00 PM,1:00:00 PM,3:00:00 PM,1:00:00 AM,"Music, Traveling, Programming",Yes,Yes,No,10,Often,Sometimes,Sometimes,Regularly,Regularly,Not at all,Sometimes,1,3 to 5,No,0,3,7,Moderate
Happy,23,Male,Engineering,11,1,With family,None,Introvert,Single,7:00:00 AM,8:00:00 AM,2:00:00 PM,4:00:00 PM,1:00:00 AM,"Photography, Painting, Traveling",No,No,No,2,Often,Very Often,Not at all,Not at all,Not at all,Not at all,Often,1,3 to 5,No,5,3,5,Moderate
Happy,18,Male,Engineering,1,3,With family,None,Ambivert,Single,10:00:00 AM,11:00:00 AM,3:30:00 PM,5:00:00 PM,3:00:00 AM,"Music, Painting",Yes,No,No,5,Very Often,Sometimes,Not at all,Not at all,Not at all,Not at all,Sometimes,2,6 to 8,No,10,4,16,Moderate
Tensed,24,Male,Law,11,3,With family,None,Extrovert,In a relationship,10:30:00 AM,12:00:00 AM,2:00:00 PM,6:00:00 PM,3:00:00 AM,"Traveling, Writing ",Yes,Yes,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Often,0,more than 8,No,0,1,15,Moderate
Happy,25,Male,Business,8,2,With family,Part time,Introvert,Single,9:30:00 AM,10:00:00 AM,3:00:00 AM,7:00:00 PM,1:00:00 AM,None,Yes,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Regularly,Sometimes,Very Often,0,0 to 2,No,1,4,3,None
Tensed,24,Male,Architecture,13,2,With family,Part time,Ambivert,Single,3:00:00 PM,4:00:00 PM,8:00:00 PM,8:00:00 PM,5:00:00 AM,Photography,Yes,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,6,6 to 8,Yes,10,4,25,Severe
Sad,23,Female,Engineering,9,0,With family,None,Introvert,Single,11:50:00 AM,1:10:00 AM,3:30:00 AM,9:00:00 PM,2:30:00 AM,Traveling,No,No,No,2,Very Often,Often,Regularly,Not at all,Sometimes,Not at all,Sometimes,2,3 to 5,No,0,1,11,Moderate
Lost,23,Female,Engineering,10,1,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,10:00:00 PM,1:00:00 AM,Programming,No,No,No,1,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,4,0 to 2,No,0,0,21,Severe
Happy,23,Male,Engineering,11,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,3:30:00 PM,11:00:00 PM,3:00:00 AM,"Traveling, Programming, Reading",No,No,No,5,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Sometimes,1,3 to 5,No,3,0,0,None
